id,title,year,price_usd,price_uah,mileage_km,published_date,city,source,url,evidence,duplicate_suspected,condition,condition_note
AR-39739037,"Honda M-NV 2022 I поколение • 61.3 kWh (218 к.с.) • Base",2022,17850,803786,49000,2026-09-12,Киев,AUTO.RIA,https://auto.ria.com/auto_honda_m_nv_39739037.html,"Объявление создано 12.09.2026; карточка и история AUTO.RIA",false,used,
AR-38586254,"Honda M-NV 2022 I поколение • 61.3 kWh (163 к.с.) • Top",2022,17300,779019,70000,2026-09-15,Тернополь,AUTO.RIA,https://auto.ria.com/auto_honda_m_nv_38586254.html,"Объявление создано 15.09.2026; карточка и история AUTO.RIA",false,used,
AR-40282557,"Honda M-NV 2023 I поколение • 61.3 kWh (218 к.с.) • Top",2023,19500,877890,19000,2026-09-16,Ужгород,AUTO.RIA,https://auto.ria.com/auto_honda_m_nv_40282557.html,"Объявление создано 16.09.2026; карточка и история AUTO.RIA",false,used,
AR-40447393,"Honda M-NV 2023 I поколение • 59 kWh (163 к.с.) • Base",2023,17400,783522,107000,2026-09-18,Львов,AUTO.RIA,https://auto.ria.com/auto_honda_m_nv_40447393.html,"Объявление создано 18.09.2026; совпадают год, цена, пробег и город с OLX ID11i1Ls",false,used,
AR-40316404,"Honda M-NV 2024 I поколение",2024,20300,914109,35000,2026-09-18,Черкассы,AUTO.RIA,https://auto.ria.com/auto_honda_m_nv_40316404.html,"Объявление создано 18.09.2026; вероятный кросс-пост с OLX ID115AHm",false,used,
AR-39640740,"Honda M-NV 2023 I поколение • 61.3 kWh (218 к.с.) • Top",2023,18500,833055,57000,2026-09-19,"Днепр",AUTO.RIA,https://auto.ria.com/auto_honda_m-nv_39640740.html,"Текущая цена карточки; объявление создано 19.09.2026",false,used,
AR-40115484,"Honda M-NV 2022 I поколение • 61.3 kWh (218 к.с.) • Top",2022,18200,819546,60000,2026-09-19,Винница,AUTO.RIA,https://auto.ria.com/auto_honda_m-nv_40115484.html,"Объявление создано 19.09.2026",false,used,
AR-40458861,"Honda M-NV 2021 I поколение • 61.3 kWh (163 к.с.) • Base",2021,16900,761007,134000,2026-09-20,"Днепр",AUTO.RIA,https://auto.ria.com/auto_honda_m-nv_40458861.html,"Размещение в истории AUTO.RIA 20.09.2026; вероятный кросс-пост с OLX ID11jDYK",false,used,
AR-40205987,"Honda M-NV 2024 I поколение • 59 kWh (163 к.с.) • Base",2024,21700,977151,19000,2026-09-24,Львов,AUTO.RIA,https://auto.ria.com/auto_honda_m-nv_40205987.html,"Объявление создано 24.09.2026",false,used,
AR-38371973,"Honda M-NV 2022 I поколение",2022,18799,846519,27000,2026-09-23,Черкассы,AUTO.RIA,https://auto.ria.com/auto_honda_m-nv_38371973.html,"Текущая цена (не прежняя зачеркнутая); объявление создано 23.09.2026",false,used,
AR-40339779,"Honda M-NV 2022 I поколение • 61.3 kWh (163 к.с.) • Top",2022,19000,855380,87000,2026-09-23,Мукачево,AUTO.RIA,https://auto.ria.com/auto_honda_m-nv_40339779.html,"Объявление создано 23.09.2026; история AUTO.RIA",false,used,
AR-40472158,"Honda M-NV 2023 I поколение • 61.3 kWh (218 к.с.) • Top",2023,19000,855570,45000,2026-09-23,Киев,AUTO.RIA,https://auto.ria.com/auto_honda_m-nv_40472158.html,"Объявление создано 23.09.2026",false,used,
AR-40470987,"Honda M-NV 2021 I поколение • 61.3 kWh (163 к.с.) • Top",2021,15800,711474,97000,2026-09-23,Одесса,AUTO.RIA,https://auto.ria.com/auto_honda_m-nv_40470987.html,"Объявление создано 23.09.2026",false,used,
AR-40476891,"Honda M-NV 2023 I поколение • 61.3 kWh (218 к.с.) • Top",2023,20500,923115,21000,2026-09-24,"Ивано-Франковск",AUTO.RIA,https://auto.ria.com/auto_honda_m-nv_40476891.html,"Объявление создано 24.09.2026",false,used,
AR-40462610,"Honda M-NV 2024 I поколение • 61.3 kWh (218 к.с.)",2024,19000,855570,69000,2026-09-21,"Днепр",AUTO.RIA,https://auto.ria.com/auto_honda_m-nv_40462610.html,"Размещение в истории AUTO.RIA 21.09.2026",false,used,
OLX-ID11hTQw,"Продам Honda M-NV під відновлення",2023,4200,,60000,2026-09-17,"Днепр, Индустриальный",OLX,https://www.olx.ua/d/uk/obyavlenie/prodam-honda-mnv-pd-vdnovlennya-ID11hTQw.html,"Опубликовано 17.09.2026; цена $4,200; 60 тыс. км; 2023. В тексте: снята с учета, на запчасти/срочно под восстановление.",false,repair,"Не сопоставима с обычными объявлениями о машинах на ходу; исключена из рыночных сводок по умолчанию"
OLX-ID11jDYK,"Honda M-NV 2021 року",2021,16900,,134000,2026-09-22,"Днепр, Соборный",OLX,https://www.olx.ua/d/uk/obyavlenie/honda-m-nv-2021-roku-ID11jDYK.html,"Опубликовано 22.09.2026; $16,900; 134 тыс. км; 2021. Вероятный кросс-пост AUTO.RIA AR-40458861.",true,used,
OLX-ID11ihAV,"Honda M-NV 2022 white",2022,17999,,56000,2026-09-18,Ужгород,OLX,https://www.olx.ua/d/uk/obyavlenie/honda-m-nv-2022-white-ID11ihAV.html,"Опубликовано 18.09.2026; $17,999; 56 тыс. км; 2022.",false,used,
OLX-IDYEDqU,"Honda MNV автомобіль",2024,18600,,53000,2026-09-14,"Запорожье, Шевченковский",OLX,https://www.olx.ua/d/uk/obyavlenie/honda-mnv-avtomobl-IDYEDqU.html,"Опубликовано 14.09.2026; $18,600; 53 тыс. км; 2024.",false,used,
OLX-ID11guSe,"Honda MNV 2023 рестайлінг 60квт LFP (Blade battery)",2023,18500,,67000,2026-09-14,Первомайск,OLX,https://www.olx.ua/d/uk/obyavlenie/honda-mnv-2023-restaylng-60kvt-lfp-blade-battery-ID11guSe.html,"Опубликовано 14.09.2026; $18,500; 67 тыс. км; 2023.",false,used,
OLX-ID115AHm,"Продам Honda M-NV 2024",2024,20300,,35000,2026-09-18,Черкассы,OLX,https://www.olx.ua/d/uk/obyavlenie/prodam-honda-mnv-2024-ID115AHm.html,"Опубликовано 18.09.2026; $20,300; 35 тыс. км; 2024. Вероятный кросс-пост AUTO.RIA AR-40316404.",true,used,
OLX-ID11i1Ls,"Продається Хонда M-NV в хорошому стані!",2023,17400,,107000,2026-09-18,"Львов, Галицкий",OLX,https://www.olx.ua/d/uk/obyavlenie/prodatsya-honda-m-nv-v-horoshomu-stan-ID11i1Ls.html,"Опубликовано 18.09.2026; $17,400; 107 тыс. км; 2023. Вероятный кросс-пост AUTO.RIA AR-40447393.",true,used,
